順位,ブックマーク数,タイトル,URL,タグ,日付
1,3402,"京都大学、Pythonの基本を解説した無料の教科書「素晴らしすぎる」「非常にわかりやすくて良い」 | Ledge.ai",https://ledge.ai/articles/kyoto-u-ac-python,"機械学習 / AI / 深層学習",2021-10-20
2,2606,"とにかく日本の住所のヤバさをもっと知るべきだと思います｜inuro",https://note.com/inuro/n/n7ec7cf15cf9c,"AI",2023-06-06
3,2465,"ChatGPTの精度を上げる、あらゆる質問の最後に置く「命令」　優秀な壁打ち相手を作る、「チャットAI力」の高め方 | ログミーBusiness",https://logmi.jp/main/skillup/328359,"機械学習 / AI / 人工知能 / 深層学習 / ChatGPT / LLM / 生成AI / 自然言語処理",2023-03-15
4,2429,"東大が無料公開している超良質なPython/Data Science/Cloud教材まとめ (*随時更新) - Digital, digital and digital",https://digitaldigital.hatenablog.com/entry/2020/07/21/104040,"機械学習 / AI / 深層学習",2021-05-01
5,2402,"米ハーバード大学のプログラミング授業「CS50x」日本語訳が無料公開",https://smbiz.asahi.com/article/14357035,"AI",2021-05-29
6,2333,"「動画で助かる」「IT基礎知識が一通り学べる」──各社が公開した新人エンジニア向けの研修資料が話題に　人気資料まとめ",https://www.itmedia.co.jp/news/articles/2107/30/news111.html,"AI",2021-07-30
7,2204,"中小企業のための「生成AI」活用入門ガイド",https://www.tokyo-cci.or.jp/file.jsp?id=1204275,"機械学習 / AI / 人工知能 / 深層学習 / ChatGPT / LLM / 生成AI",2025-03-11
8,2188,"2022年、特に感動した・気に入った フリーソフト",https://www.gigafree.org/matome/best-freesoft-2022/,"AI",2023-01-04
9,2121,"ChatGPTの使い方のコツをまとめる - BioErrorLog Tech Blog",https://www.bioerrorlog.work/entry/chatgpt-tips,"機械学習 / AI / 人工知能 / 深層学習 / ChatGPT / OpenAI",2023-03-26
10,2100,"Claude Codeで「AI部下10人」を作ったら、勝手にバグ直して「違反は切腹」ルールを追加してきて、オレは適当にしゃべるだけになった",https://zenn.dev/shio_shoppaize/articles/5fee11d03a11a1,"機械学習 / AI / 人工知能 / 深層学習 / ChatGPT / LLM / 生成AI / 自然言語処理",2026-01-26
11,2050,"【保存版】株のトレーディング手法まとめ｜UKI",https://note.com/uki_profit/n/nc3ff28f5f97d,"機械学習 / 深層学習",2022-12-25
12,2048,"あえぎ声を書くバイト",https://anond.hatelabo.jp/20210408000218,"機械学習 / 深層学習",2021-04-07
13,2028,"音声合成業界に激震! もはや人間の喋り声、入力文字読み上げソフトVOICEPEAKはビジネス用途でも自由に利用可能",https://www.dtmstation.com/archives/55090.html,"機械学習 / AI / 人工知能 / 深層学習",2022-02-17
14,2026,"45の仕事力チェックリスト ～「会議の進め方」から「タスク管理の方法」まで～ | 採用ブログ | 才流",https://sairu.co.jp/recruit/recruit-blog/8513/,"AI",2023-06-09
15,2021,"VOICEVOX | 無料のテキスト読み上げ・歌声合成ソフトウェア",https://voicevox.hiroshiba.jp/,"機械学習 / AI / 人工知能 / 深層学習",2021-07-31
16,1967,"CLINEに全部賭けろ",https://zenn.dev/mizchi/articles/all-in-on-cline,"機械学習 / AI / 人工知能 / 深層学習 / LLM / 生成AI / 自然言語処理",2025-02-26
17,1963,"プログラミングに挫折したならAIお姉ちゃんに任せなさい - 本しゃぶり",https://honeshabri.hatenablog.com/entry/One-chanGPT,"機械学習 / AI / 人工知能 / 深層学習 / ChatGPT / LLM / 生成AI / OpenAI / 自然言語処理",2023-08-20
18,1921,"CS50 for Japanese: コンピュータサイエンスの入門 – 当ウェブサイトは、Creative Commons ライセンスに基づいて管理されています。",https://cs50.jp/,"機械学習 / AI / 深層学習",2021-05-13
19,1918,"全国民に配るべき！総務省が示した「データ入力の統一ルール」｜Excel医ブログ",https://excel-design-dr.com/date-entry-rule/,"機械学習 / 深層学習",2021-06-13
20,1907,"AI活用100本ノック（DeNA）",https://downloads.ctfassets.net/7mrdlclm9xss/m7XsAz2M3bT8WoDrfmYn3/8ee77c25f48de5dab3b792b428df5495/AI_100tips_slide.pdf,"機械学習 / AI / 人工知能 / 深層学習 / ChatGPT / LLM / 生成AI",2025-12-23
21,1896,"ChatGPTにマインドマップを作ってもらったら理解速度が爆速になる件｜Abiru",https://note.com/abiruy/n/n8f55133a06d6,"機械学習 / AI / 人工知能 / 深層学習 / ChatGPT / 自然言語処理",2023-04-04
22,1893,"みらい議会｜チームみらい",https://gikai.team-mir.ai/,"AI / 人工知能",2025-10-16
23,1886,"社内SQL研修のために作った資料を公開します | 株式会社AI Shift",https://www.ai-shift.co.jp/techblog/1980,"AI",2021-06-21
24,1858,"「面倒なことはChatGPTにやらせよう」の全プロンプトを実行した配信のリンクを整理しました｜カレーちゃん",https://note.com/currypurin/n/n18616b72e940,"AI / 人工知能 / ChatGPT / LLM / 生成AI",2024-02-19
25,1829,"やばすぎるAI画像生成サービス「Stable Diffusion」始まる。 【簡単解説 & 応用 & Prompt付生成事例集】｜やまかず",https://note.com/yamkaz/n/n9fd522bb012e,"機械学習 / AI / 人工知能 / 深層学習 / 生成AI",2022-08-22
26,1817,"さようなら、全てのエヴァーノート - 本しゃぶり",https://honeshabri.hatenablog.com/entry/Evernote_to_Obsidian,"AI",2024-04-14
27,1798,"【神回】Googleスライドが一瞬で完成する""奇跡""のプロンプト教えます｜まじん",https://note.com/majin_108/n/n39235bcacbfc,"AI / ChatGPT / LLM / 生成AI",2025-08-16
28,1775,"ChatGPTに要件定義をお願いしたらハンパなかった | DevelopersIO",https://dev.classmethod.jp/articles/gpt-requirement-definition/,"機械学習 / AI / 人工知能 / 深層学習 / ChatGPT / 自然言語処理",2023-03-18
29,1769,"エアコンは安いダイキンEシリーズが良いよ。取り付け業者は自分で選ぼう",https://anond.hatelabo.jp/20241125231458,"AI",2024-11-25
30,1745,"世界変革の前夜は思ったより静か｜深津 貴之 (fladdict)",https://note.com/fladdict/n/n13c1413c40de,"機械学習 / AI / 人工知能 / 深層学習 / 生成AI",2022-08-21
31,1713,"「そもそも生成AIでやるべきでない問い」に、企業が挑んでしまう問題｜深津 貴之 (fladdict)",https://note.com/fladdict/n/na45a57c572c8,"機械学習 / AI / 人工知能 / 深層学習 / ChatGPT / LLM / 生成AI",2026-01-09
32,1708,"これは嬉しい　ChatGPTプロンプト書き方のコツ、OpenAIが公開",https://ascii.jp/elem/000/004/175/4175960/,"AI / 人工知能 / ChatGPT / LLM / 生成AI / OpenAI / 自然言語処理",2023-12-18
33,1695,"コードで学ぶAWS入門",https://tomomano.github.io/learn-aws-by-coding/,"機械学習 / 深層学習",2021-08-06
34,1692,"Awesome-Nano-Banana-images/README_ja.md at main · PicoTrex/Awesome-Nano-Banana-images",https://github.com/PicoTrex/Awesome-Nano-Banana-images/blob/main/README_ja.md,"AI / 人工知能 / ChatGPT / LLM / 生成AI",2025-09-13
35,1688,"0から分かる Claude Code 完全ガイド",https://zenn.dev/lv/books/f611cdfe8a6e1a,"AI / 人工知能 / LLM / 生成AI",2026-02-12
36,1686,"【ChatGPT】これだけ覚えればOK？ゴールシークプロンプトが誰でも使えて最強すぎた｜Masaki KANAI",https://note.com/k_masaki/n/n3089b04a688f,"機械学習 / AI / 人工知能 / 深層学習 / ChatGPT / LLM / OpenAI / 自然言語処理",2023-04-07
37,1664,"東工大が無料公開しているPython解説サイト初心者の目線に合わせた丁寧な説明で、かゆいところに手が届く教材。基本的な文法、データ構造、ファイル入出力やオブジェクト指向、NumpyとMatplotlibの使い方などをひと通り学べる。",https://posfie.com/@tak_narita/p/ZoHc4th,"機械学習 / AI / 深層学習",2022-10-09
38,1650,"宗教的プログラムの構造と解釈 - 佐武原 | 少年ジャンプ＋",https://shonenjumpplus.com/episode/3269754496358577604,"機械学習 / AI / 深層学習",2021-06-15
39,1638,"じゅじゅ on Twitter: ""年末年始、なにか勉強したいな～と思っている方向けに完全無料で高品質の内容が学べるコンテンツをまとめました🎄 英語、統計・データ分析、IT・プログラミング、ロジカルシンキング、会計・ファイナンスなど。 こんなに最高なコンテンツが完… https://t.co/aM91f9DpHk""",https://twitter.com/jujulife7/status/1474282192465719296,"AI",2021-12-25
40,1622,"【ChatGPT】英語学習用に素敵な先生を錬成したよ！ - はげあたま.org",https://www.hageatama.org/20240611/1718113338,"AI / 人工知能 / ChatGPT / 生成AI",2024-06-11
41,1597,"OpenInterpreter / ついにAIがガチのアシスタントに!これは凄い、というか凄すぎる｜shi3z",https://note.com/shi3zblog/n/n7eaba88ffe4a,"機械学習 / AI / 人工知能 / 深層学習 / ChatGPT / LLM / 生成AI / OpenAI / 自然言語処理",2023-09-07
42,1593,"とほほのAI入門 - とほほのWWW入門",https://www.tohoho-web.com/ai/ai.html,"機械学習 / AI / 人工知能 / 深層学習 / LLM / 生成AI",2025-10-14
43,1583,"Googleの画像生成AI「Nano-banana」をめちゃくちゃ活用できるプロンプトとサンプル画像実例まとめ",https://gigazine.net/news/20250912-nano-banana-prompt-example-matome/,"AI / 人工知能 / 生成AI",2025-09-12
44,1564,"【ChatGPT】笑いすぎ注意！SNSでバズった使い方45選 | WEEL",https://weel.co.jp/media/innovator/chatgpt-interesting-list/,"機械学習 / AI / 人工知能 / 深層学習 / ChatGPT / LLM / OpenAI",2023-02-24
45,1562,"Midjourney、Stable Diffusion、mimicなどの画像自動生成AIと著作権｜知的財産・IT・人工知能・ベンチャービジネスの法律相談なら【STORIA法律事務所】",https://storialaw.jp/blog/8820,"機械学習 / 人工知能 / 深層学習",2022-08-31
46,1561,"いま文章を書くのに「CURSOR」を使わないのは損だ",https://ascii.jp/elem/000/004/253/4253872/,"機械学習 / 人工知能 / 深層学習 / ChatGPT / LLM / 生成AI",2025-02-27
47,1552,"DX白書2021 | 書籍・刊行物 | IPA 独立行政法人 情報処理推進機構",https://www.ipa.go.jp/publish/wp-dx/dx-2021.html,"人工知能",2021-10-11
48,1533,"人類はもう生成AIに勝てないと痛感したDeep Researchの使い方 - Qiita",https://qiita.com/zazen_inu/items/5dc2ea32aa4de18c02c7,"機械学習 / 人工知能 / 深層学習 / ChatGPT / LLM / 生成AI",2025-03-06
